Fa_chr1	62194839	62209376	Mo_chr1	63184939	63199478
Fa_chr7	25010768	25114329	Mo_chr7	19436643	19540192
Fa_chr7	21881331	21987616	Mo_chr7	22577601	22683849
Fa_chr7	11690095	11789908	Mo_chr7	32779729	32879561
Fa_chr7	27330920	27429476	Mo_chr7	17113099	17211650
Fa_chr7	15347304	15440543	Mo_chr7	29124878	29218106
Fa_chr7	20380164	20472825	Mo_chr7	24091215	24183826
Fa_chr7	16970484	17057586	Mo_chr7	27502151	27589234
Fa_chr7	40066062	40144084	Mo_chr7	9376486	9454577
Fa_chr7	12489983	12563896	Mo_chr7	32004586	32078533
Fa_chr7	11246322	11316700	Mo_chr7	33253188	33323695
Fa_chr7	12004744	12074143	Mo_chr7	32494407	32563777
Fa_chr7	35751411	35817003	Mo_chr7	3775930	3842101
Fa_chr7	4328538	4391404	Mo_chr7	40161173	40224002
Fa_chr7	27509604	27570764	Mo_chr7	16971828	17033018
Fa_chr7	16912174	16970240	Mo_chr7	27589478	27647499
Fa_chr7	19756812	19814395	Mo_chr7	24758567	24816031
Fa_chr7	22900231	22961095	Mo_chr7	21604871	21665744
Fa_chr7	22655185	22711792	Mo_chr7	21854335	21910929
Fa_chr7	21312518	21366807	Mo_chr7	23198021	23252312
Fa_chr7	20022185	20078551	Mo_chr7	24494257	24550701
Fa_chr7	40694085	40752547	Mo_chr7	8767642	8826168
Fa_chr7	4590423	4645487	Mo_chr7	39908005	39963107
Fa_chr7	12762178	12819326	Mo_chr7	31749175	31806348
Fa_chr7	21711737	21764006	Mo_chr7	22801054	22853401
Fa_chr7	17888192	17943867	Mo_chr7	26616723	26672396
Fa_chr7	7820486	7872738	Mo_chr7	36688764	36740984
Fa_chr7	7169444	7224719	Mo_chr7	37335526	37390768
Fa_chr7	8590892	8644288	Mo_chr7	35915753	35969130
Fa_chr7	25243861	25298135	Mo_chr7	19252760	19307057
Fa_chr7	11794796	11847763	Mo_chr7	32721858	32774846
Fa_chr7	18098966	18151303	Mo_chr7	26409818	26462181
Fa_chr7	12145035	12196476	Mo_chr7	32372073	32423534
Fa_chr7	24850330	24902779	Mo_chr7	19648089	19700512
Fa_chr7	5485321	5536976	Mo_chr7	39020875	39072378
Fa_chr7	35838512	35889273	Mo_chr7	3703766	3754475
Fa_chr7	26235532	26288016	Mo_chr7	18254437	18306919
Fa_chr7	12092347	12140973	Mo_chr7	32427596	32476202
Fa_chr7	17795358	17842409	Mo_chr7	26718164	26764439
Fa_chr7	19136665	19182429	Mo_chr7	25381030	25426791
Fa_chr7	27201711	27244703	Mo_chr7	17297838	17340837
Fa_chr7	13638504	13685139	Mo_chr7	30881838	30928492
Fa_chr7	17739320	17785873	Mo_chr7	26773935	26820485
Fa_chr7	13167929	13214076	Mo_chr7	31353053	31399188
Fa_chr7	8215913	8263832	Mo_chr7	36295789	36343682
Fa_chr7	4178888	4228372	Mo_chr7	40324312	40373759
Fa_chr7	20932534	20979495	Mo_chr7	23584424	23631426
Fa_chr7	21463249	21508216	Mo_chr7	23056492	23101448
Fa_chr7	20503898	20551006	Mo_chr7	24013000	24060094
Fa_chr7	15769086	15814880	Mo_chr7	28754575	28800339
Fa_chr7	26420893	26467509	Mo_chr7	18074907	18121488
Fa_chr7	19400005	19443768	Mo_chr7	25114781	25158557
Fa_chr7	26686503	26732533	Mo_chr7	17809864	17855866
Fa_chr7	10536636	10582620	Mo_chr7	33985420	34031393
Fa_chr7	17152318	17198935	Mo_chr7	27361645	27408292
Fa_chr7	3701052	3745936	Mo_chr7	40807515	40852423
Fa_chr7	9513074	9557441	Mo_chr7	35003266	35047646
Fa_chr7	14231999	14273440	Mo_chr7	30292487	30333910
Fa_chr7	19703060	19756579	Mo_chr7	24816264	24862720
Fa_chr7	23540744	23583586	Mo_chr7	20970759	21013586
Fa_chr7	19975496	20018924	Mo_chr7	24553960	24597366
Fa_chr7	15235807	15277635	Mo_chr7	29287758	29329571
Fa_chr7	3207191	3252413	Mo_chr7	41299957	41344953
Fa_chr7	17977810	18020417	Mo_chr7	26540180	26582776
Fa_chr7	12892747	12936955	Mo_chr7	31631633	31675840
Fa_chr7	24505551	24547546	Mo_chr7	20005566	20047576
Fa_chr7	13839974	13880266	Mo_chr7	30685736	30726021
Fa_chr7	40822747	40865742	Mo_chr7	8654622	8697636
Fa_chr7	13521878	13562016	Mo_chr7	31004906	31045035
Fa_chr7	27107281	27149183	Mo_chr7	17393330	17435259
Fa_chr7	18834188	18875576	Mo_chr7	25687438	25728807
Fa_chr7	40164125	40205572	Mo_chr7	9314532	9355985
Fa_chr7	10347355	10387993	Mo_chr7	34180445	34221065
Fa_chr7	26080652	26122366	Mo_chr7	18420135	18461857
Fa_chr7	17581776	17621820	Mo_chr7	26937991	26978031
Fa_chr7	10140144	10181839	Mo_chr7	34386637	34428332
Fa_chr7	18994311	19034871	Mo_chr7	25528588	25569147
Fa_chr7	17454049	17494960	Mo_chr7	27064945	27105870
Fa_chr7	10856657	10895888	Mo_chr7	33672429	33711589
Fa_chr7	18708761	18748838	Mo_chr7	25814071	25854151
Fa_chr7	7599900	7641288	Mo_chr7	36919003	36960325
Fa_chr7	8156214	8195872	Mo_chr7	36363840	36403478
Fa_chr7	22448621	22489284	Mo_chr7	22077191	22117857
Fa_chr7	5618362	5658197	Mo_chr7	38899658	38939486
Fa_chr7	27258361	27295612	Mo_chr7	17246921	17284181
Fa_chr7	15860673	15900269	Mo_chr7	28669106	28708759
Fa_chr7	12631455	12671463	Mo_chr7	31897001	31937021
Fa_chr7	19039706	19079227	Mo_chr7	25484216	25523762
Fa_chr7	21590157	21630945	Mo_chr7	22933786	22974602
Fa_chr7	7682321	7721207	Mo_chr7	36839106	36877980
Fa_chr7	19321908	19359302	Mo_chr7	25199347	25236749
Fa_chr7	13284568	13324159	Mo_chr7	31250947	31290561
Fa_chr7	35051034	35089173	Mo_chr7	42618923	42657048
Fa_chr7	23416745	23454300	Mo_chr7	21100046	21137582
Fa_chr7	18953806	18994039	Mo_chr7	25569419	25609394
Fa_chr7	3037491	3078603	Mo_chr7	41474832	41516025
Fa_chr7	35633416	35674078	Mo_chr7	3919388	3960025
Fa_chr7	3659152	3699503	Mo_chr7	40853172	40893548
