contig	length	RG	chicken
Fa_000031l	60665133	1	chr1
Mo_000051l	47467806	1	chr1
Mo_000065l	14961432	1	chr1
Mo_000052l	3162356	1	chr1
Fa_000052l	2541203	1	chr1
Fa_000005l	57703426	2	chr1
Mo_000060l	23020752	2	chr1
Mo_000063l	22365284	2	chr1
Mo_000040l	15743511	2	chr1
Fa_000106l	3778911	2	chr1
Mo_000008l	55987758	3	chr4
Fa_000013l	55597870	3	chr4
Fa_000126l	369815	3	chr4
Mo_000032l	53014561	4	chr3
Fa_000029l	50568489	4	chr3
Fa_000039l	3088305	4	chr3
Mo_000019l	42105181	5	chr2
Fa_000007l	31655289	5	chr2
Fa_000078l	8606545	5	chr2
Fa_000163l	1926914	5	chr2
Mo_000161l	502268	5	chr2
Fa_000146l	500387	5	chr2
Fa_000120l	324706	5	chr2
Mo_000139l	271982	5	chr2
Mo_000005l	41346577	6	chr2
Fa_000030l	35789634	6	chr2
Fa_000107l	5589836	6	chr2
Fa_000132l	613164	6	chr2
Fa_000015l	41777757	7	chr6
Mo_000049l	41665554	7	chr6
Fa_000028l	44092072	8	chr7
Mo_000017l	44072690	8	chr7
Mo_000075l	35094293	9	chr5
Fa_000086l	29330066	9	chr5
Fa_000034l	7391435	9	chr5
Fa_000105l	34912115	10	chr3
Mo_000041l	22923454	10	chr3
Mo_000089l	11939738	10	chr3
Mo_000002l	31337794	11	chr3
Fa_000064l	26653214	11	chr3
Mo_000014l	15857540	11	chr3
Fa_000068l	13222058	11	chr3
Fa_000195l	1238894	11	chr3
Fa_000071l	26387512	12	chr1
Mo_000027l	21387928	12	chr1
Mo_000015l	18849521	12	chr1
Fa_000070l	9947572	12	chr1
Fa_000073l	3585519	12	chr1
Fa_000110l	2737166	12	chr1
Mo_000126l	1955158	12	chr1
Mo_000011l	34353327	13	chr2
Fa_000018l	33475590	13	chr2
Mo_000022l	39487706	14	chr8
Fa_000024l	38744462	14	chr8
Mo_000030l	32505630	15	chr9
Fa_000022l	22464004	15	chr9
Fa_000055l	5593108	15	chr9
Fa_000104l	2420587	15	chr9
Mo_000001l	23020388	16	chr1
Fa_000084l	12748208	16	chr1
Fa_000079l	10249555	16	chr1
Fa_000057l	28768085	17	chr2
Mo_000031l	18019222	17	chr2
Mo_000048l	11427225	17	chr2
Mo_000003l	31533521	18	chr4
Fa_000040l	27976279	18	chr4
Fa_000109l	794182	18	chr33
Fa_000165l	761524	18	chr4
Mo_000110l	749432	18	chr4
Fa_000091l	235588	18	chr33
Mo_000039l	27486768	19	chr11
Fa_000002l	25815314	19	chr11
Fa_000027l	25429815	20	chr12
Mo_000028l	25322294	20	chr12
Fa_000053l	22275102	21	chr13
Mo_000080l	747551	21	chr13
Fa_000032l	661262	21	chr13
Fa_000050l	24834059	22	chr5
Mo_000012l	24830383	22	chr5
Fa_000167l	24733265	23	chr4
Mo_000084l	13474056	23	chr4
Mo_000072l	10955942	23	chr4
Mo_000016l	28880900	24	chr1
Fa_000072l	22357049	24	chr1
Fa_000096l	6146894	24	chr1
Fa_000133l	641045	24	chr1
Mo_000077l	610013	24	chr1
Fa_000098l	20558447	25	chr14
Mo_000044l	20072705	25	chr14
Mo_000111l	16009366	26	chr2
Fa_000026l	14812001	26	chr2
Fa_000065l	4069318	26	chr2
Mo_000047l	2779650	26	chr2
Mo_000021l	24639878	27	chr10
Fa_000041l	24620022	27	chr10
Fa_000038l	17950041	28	chr20
Mo_000066l	17838981	28	chr20
Mo_000104l	15007386	29	chr5
Fa_000035l	10775988	29	chr5
Fa_000056l	4273748	29	chr5
Mo_000007l	14218991	30	chr17
Fa_000047l	13751633	30	chr17
Mo_000024l	39756985	31	chr13
Fa_000003l	17710636	31	chr15
Mo_000037l	15017180	32	chr18
Fa_000010l	14759899	32	chr18
Fa_000033l	14531563	33	chr19
Mo_000082l	12245893	33	chr19
Mo_000121l	4456682	33	chr19
Mo_000029l	17849907	34	chr21
Fa_000004l	17492803	34	chr21
Fa_000025l	11650120	35	chr23
Mo_000081l	10610992	35	chr23
Fa_000009l	13405232	36	chr26
Mo_000025l	12180619	36	chr26
Fa_000036l	15446527	37	chr24
Mo_000070l	10199254	37	chr24
Mo_000006l	4229057	38	chr27
Fa_000137l	3951278	38	chr27
Mo_000064l	3601158	38	chr27
Fa_000069l	3466866	38	chr27
Fa_000006l	9705194	39	chr22
Mo_000054l	6217471	39	chr22
Fa_000014l	30207016	40	chrZ
Fa_000012l	26240345	40	chrZ
Mo_000033l	13899023	40	chrZ
Mo_000045l	13694345	40	chrZ
Mo_000042l	11538270	40	chrZ
Fa_000017l	6929704	40	chrZ
Mo_000009l	6840656	40	chrZ
Mo_000076l	4791509	40	chrZ
Fa_000044l	3292039	40	chrZ
Mo_000158l	2895012	40	chrZ
Mo_000058l	2711082	40	chrZ
Mo_000069l	2188364	40	chrZ
Fa_000008l	24782304	40	chrZ
Mo_000061l	9165098	NA	chr16
Fa_000083l	8912002	NA	chr3
Mo_000059l	8804490	NA	chr3
Fa_000085l	6541119	NA	chr3
Fa_000023l	5753860	NA	chr16
Mo_000034l	4341881	NA	chr16
Mo_000073l	4179445	NA	chr3
Fa_000115l	3285326	NA	chr3
Mo_000101l	3216628	40	chrZ
Mo_000097l	4006162	40	chrZ
Fa_000001l	2873882	NA	chr3
Mo_000190c	2797213	NA	chr22
Fa_000139l	2748765	NA	chr3
Fa_000059l	2487087	NA	chr3
Mo_000046l	2243341	NA	chr3
Fa_000016l	2075909	NA	chr3
Mo_000155l	2006001	NA	chr9
Fa_000080l	1989292	NA	chr3
Fa_000061l	1983003	NA	chr16
Mo_000207l	1918887	NA	chr3
Mo_000105l	1899480	NA	chrZ
Mo_000079l	1791341	NA	chrZ
Mo_000203l	1610582	NA	chr3
Fa_000102l	1574927	NA	chr3
Fa_000127l	1571753	NA	chr16
Fa_000158l	1562159	NA	chr3
Fa_000093l	1540080	NA	chr8
Fa_000143l	1512442	NA	chr3
Mo_000125l	1442476	NA	chr2
Fa_000020l	1403283	NA	chr3
Fa_000171l	1339300	NA	chr3
Mo_000010l	1313257	NA	chr16
Mo_000182l	1282303	NA	chr3
Fa_000145l	1262021	NA	chr3
Fa_000180l	1229274	NA	chr3
Mo_000213l	1197785	NA	chr3
Fa_000103l	1168027	NA	chr3
Mo_000131l	1140301	NA	chr3
Mo_000119l	1138225	NA	chr16
Mo_000038l	1136646	NA	chr1
Fa_000101l	1101645	NA	chr3
Fa_000095l	1101621	NA	chr3
Mo_000166l	1074096	NA	chr3
Mo_000221l	1062569	NA	chr3
Fa_000049l	1058633	NA	chr19
Fa_000153l	1053435	NA	chr3
Fa_000155l	1046045	NA	chr16
Mo_000043l	1003663	NA	chr3
Mo_000224l	892429	NA	chr3
Mo_000146l	888500	NA	chr3
Fa_000108l	887248	NA	chr3
Mo_000164l	884052	NA	chr8
Mo_000074l	882791	NA	chr3
Mo_000215l	841514	NA	chr23
Mo_000150l	839566	NA	chr21
Fa_000149l	801343	NA	chr3
Fa_000117c	737177	NA	chr3
Mo_000230l	722481	NA	chr3
Fa_000131l	715945	NA	chr1
Mo_000067l	672349	NA	chr3
Mo_000117l	662453	NA	chr3
Fa_000082l	660708	NA	chr3
Mo_000178l	650481	NA	chr3
Mo_000127l	648789	NA	chr3
Mo_000035l	635190	NA	chr7
Mo_000055l	623263	NA	chr15
Mo_000174l	602775	NA	chrZ
Fa_000081l	590547	NA	chr18
Fa_000130l	580246	NA	chrZ
Fa_000060l	577084	NA	chr15
Fa_000142l	556621	NA	chrZ
Mo_000023l	543070	NA	chr12
Mo_000222l	528686	NA	chr3
Fa_000141l	524691	NA	chr3
Fa_000198l	509895	NA	chr3
Mo_000157l	494096	NA	chrZ
Fa_000148l	482717	NA	chr3
Mo_000137c	460057	NA	chr3
Fa_000179l	445944	NA	chr1
Mo_000167l	440601	NA	chr21
Mo_000202l	438348	NA	chr3
Fa_000058c	434747	NA	chr3
Fa_000054l	421081	NA	chr1
Mo_000235l	405011	NA	chr3
Mo_000107l	401531	NA	chr1
Fa_000087l	383535	NA	chr1
Mo_000216l	382950	NA	chr3
Mo_000229l	359880	NA	chr2
Fa_000151l	359646	NA	chr16
Fa_000170l	345486	NA	chr1
Mo_000068l	344039	NA	chr3
Mo_000091l	340471	NA	chr1
Mo_000098l	336732	NA	chr9
Mo_000160l	334366	NA	chr2
Fa_000175l	331865	NA	chr2
Mo_000140l	330698	NA	chr1
Mo_000185l	322861	NA	chrZ
Mo_000175l	305549	NA	chr3
Fa_000076l	300092	NA	chr16
Fa_000089l	295409	NA	chr1
Fa_000162l	293386	NA	chr8
Fa_000067l	285641	NA	chr1
Mo_000092l	279392	NA	chr3
Fa_000094l	276156	NA	chrZ
Mo_000211l	270122	NA	chr3
Fa_000166l	269474	NA	chr3
Mo_000153l	265162	NA	chr3
Fa_000092l	258664	NA	chr3
Fa_000122l	258084	NA	chr2
Mo_000204l	257907	NA	chr15
Fa_000147l	253809	NA	chr14
Fa_000168l	253532	NA	chr3
Mo_000057l	252760	NA	chr3
Fa_000077l	238373	NA	chr3
Mo_000078l	236559	NA	chr3
Mo_000109l	226817	NA	chr5
Fa_000119l	221976	NA	chr16
Fa_000178l	220903	NA	chr3
Fa_000129l	218416	NA	chr1
Mo_000094l	206777	NA	chr3
Fa_000182l	203939	NA	chr3
Fa_000066l	187492	NA	chr2
Mo_000200l	186778	NA	chr18
Mo_000148l	186056	NA	chr3
Mo_000169l	182020	NA	chr9
Mo_000227l	181748	NA	chr3
Mo_000233l	180015	NA	chrZ
Fa_000090c	179825	NA	chr26
Fa_000160l	178381	NA	chr15
Fa_000201l	177689	NA	chr18
Fa_000138l	175444	NA	chr1
Mo_000194l	174049	NA	chr3
Mo_000136l	170296	NA	chr3
Mo_000085l	162124	NA	chr10
Mo_000114l	160757	NA	chr15
Mo_000205l	159850	NA	chr3
Mo_000071l	156393	NA	chrZ
Fa_000172l	150700	NA	chrZ
Fa_000011l	146363	NA	chrZ
Mo_000128l	144222	NA	chr3
Fa_000045l	143775	NA	chr3
Mo_000197l	142768	NA	chr3
Mo_000247l	140052	NA	chr3
Mo_000144l	139318	NA	chr12
Fa_000062l	138401	NA	chr3
Mo_000050l	135398	NA	chr8
Fa_000210l	132712	NA	chr1
Fa_000157l	128187	NA	chr14
Mo_000113l	118524	NA	chr3
Fa_000118l	105474	NA	chr13
Mo_000214l	102529	NA	chr1
Fa_000211l	102050	NA	chr2
Fa_000046l	92842	NA	chr1
Mo_000163l	89362	NA	chr5
Fa_000136l	86627	NA	chr1
Fa_000186l	85622	NA	chr3
Fa_000134l	80478	NA	chr1
Mo_000141l	77199	NA	chr1
Fa_000205l	75922	NA	chr3
Fa_000183l	65496	NA	chr14
Fa_000200l	62807	NA	chr17
Fa_000188l	60902	NA	chr15
Mo_000130l	59603	NA	chr1
Mo_000220l	59514	NA	chr3
Mo_000165l	59102	NA	chr2
Mo_000176l	58836	NA	chr2
Mo_000241l	58212	NA	chr17
Fa_000074l	56195	NA	chr4
Fa_000154l	52048	NA	chr2
Fa_000051l	49093	NA	chr3
Mo_000087l	48867	NA	chr2
Mo_000193l	41570	NA	chrZ
Mo_000249l	41475	NA	chr12
Mo_000253l	40987	NA	chr4
Fa_000156l	40923	NA	chr9
Mo_000242l	38091	NA	chr1
Mo_000209l	37975	NA	chr3
Mo_000244l	36862	NA	chr6
Mo_000210l	35009	NA	chr1
Mo_000159l	33876	NA	chr6
Mo_000250l	32638	NA	chr20
Fa_000219l	29800	NA	chr1
Mo_000248l	27549	NA	chr6
Mo_000236l	26614	NA	chr21
Mo_000246l	20633	NA	chr6
Fa_000216l	20506	NA	chrZ
